[2026-06-10T10:59:27.035Z] GET http://localhost:5173/src/components/dashboard/AiPanel.jsx → 200 (417ms, 13431B)
[2026-06-10T10:59:27.083Z] GET http://localhost:5173/node_modules/.vite/deps/lucide-react.js?v=c3e6c4b8 → pending (?ms, ?B)
[2026-06-10T10:59:27.083Z] GET http://localhost:5173/src/lib/utils.js → 200 (363ms, 9676B)
[2026-06-10T10:59:27.376Z] GET http://localhost:5173/src/components/MetricsChart.jsx → 200 (76ms, 12492B)
[2026-06-10T10:59:27.377Z] GET http://localhost:5173/src/components/NodeStatus.jsx → 200 (76ms, 55516B)
[2026-06-10T10:59:27.442Z] GET http://localhost:5173/node_modules/.vite/deps/axios.js?v=c3e6c4b8 → 200 (286ms, 103137B)
[2026-06-10T10:59:27.456Z] GET http://localhost:5173/node_modules/.vite/deps/react-chartjs-2.js?v=c3e6c4b8 → 200 (46ms, 5310B)
[2026-06-10T10:59:27.456Z] GET http://localhost:5173/node_modules/.vite/deps/chart__js.js?v=c3e6c4b8 → 200 (44ms, 1734B)
[2026-06-10T10:59:27.502Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-FRFBVTCU.js?v=c3e6c4b8 → pending (?ms, ?B)
[2026-06-10T10:59:27.503Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-S725DACQ.js?v=c3e6c4b8 → 200 (107ms, 37368B)
[2026-06-10T10:59:29.612Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5CgmG0X7t.woff2 → pending (?ms, ?B)
[2026-06-10T10:59:30.158Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.118.woff2 → 200 (166ms, 14664B)
[2026-06-10T10:59:30.158Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.119.woff2 → 200 (165ms, 16676B)
[2026-06-10T10:59:30.158Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.117.woff2 → 200 (168ms, 14460B)
[2026-06-10T10:59:30.158Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.115.woff2 → 200 (193ms, 16272B)
[2026-06-10T10:59:30.159Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.116.woff2 → 200 (197ms, 16200B)
[2026-06-10T10:59:30.159Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.114.woff2 → 200 (279ms, 16212B)
[2026-06-10T10:59:30.261Z] GET http://localhost:5173/api/clusters → 200 (216ms, 155B)
[2026-06-10T10:59:30.261Z] GET http://localhost:5173/api/dashboard/summary → 200 (212ms, 131B)
[2026-06-10T10:59:30.262Z] GET http://localhost:5173/api/dashboard/sw-status → 200 (227ms, ?B)
[2026-06-10T10:59:30.265Z] GET http://localhost:5173/api/dashboard/alerts → 200 (220ms, ?B)
[2026-06-10T10:59:30.265Z] GET http://localhost:5173/api/dashboard/docker → 200 (230ms, ?B)
[2026-06-10T10:59:30.287Z] GET http://localhost:5173/api/clusters → 200 (170ms, 155B)
[2026-06-10T10:59:30.287Z] GET http://localhost:5173/api/dashboard/summary → 200 (68ms, 131B)
[2026-06-10T10:59:30.287Z] GET http://localhost:5173/api/dashboard/sw-status → 200 (177ms, 619B)
[2026-06-10T10:59:30.287Z] GET http://localhost:5173/api/dashboard/alerts → 200 (175ms, 554B)
[2026-06-10T10:59:30.287Z] GET http://localhost:5173/api/dashboard/docker → 200 (184ms, 384B)
[2026-06-10T10:59:30.471Z] GET http://localhost:5173/api/clusters/1/status → pending (?ms, ?B)
[2026-06-10T10:59:30.471Z] GET http://localhost:5173/api/clusters/2/status → pending (?ms, ?B)
[2026-06-10T10:59:30.471Z] GET http://localhost:5173/api/clusters/3/status → pending (?ms, ?B)
